Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,900845,-,-,-,41.77,-87.74,-6,189,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,Temperature,Relative Humidity,Dew Point,Pressure,Wind Speed
2017,1,1,0,30,-4.9,87.55,-6.6000000000000005,993,2
2017,1,1,1,30,-5.1000000000000005,86.68,-7,993,1.9000000000000001
2017,1,1,2,30,-5.5,88.72,-7.1000000000000005,994,2.1
2017,1,1,3,30,-5.800000000000001,91.22,-7,994,2.3000000000000003
2017,1,1,4,30,-6.1000000000000005,94.42,-6.9,995,2.7
2017,1,1,5,30,-6.300000000000001,97.39,-6.6000000000000005,996,3
2017,1,1,6,30,-6.300000000000001,98.59,-6.5,996,3.1
2017,1,1,7,30,-5.4,93.15,-6.300000000000001,997,3.4000000000000004
2017,1,1,8,30,-3.7,84.57000000000001,-5.9,998,3.4000000000000004
2017,1,1,9,30,-1.6,75.45,-5.4,998,3
2017,1,1,10,30,0.5,65.49,-5.2,998,3.2
2017,1,1,11,30,1.9000000000000001,60.19,-5,998,3.5
2017,1,1,12,30,2.8000000000000003,57.53,-4.800000000000001,997,3.5
2017,1,1,13,30,3.2,55.84,-4.800000000000001,997,2.8000000000000003
2017,1,1,14,30,2.7,61.01,-4.1000000000000005,997,1.8
2017,1,1,15,30,1.8,72.53,-2.6,997,1.2000000000000002
2017,1,1,16,30,1.2000000000000002,67.04,-4.2,997,1.3
2017,1,1,17,30,1,70.35000000000001,-3.8000000000000003,998,1.4000000000000001
2017,1,1,18,30,0.4,75.17,-3.5,998,2.1
2017,1,1,19,30,0.2,77.39,-3.3000000000000003,998,2.6
2017,1,1,20,30,0,79.48,-3.1,998,3
2017,1,1,21,30,-0.30000000000000004,82.34,-2.9000000000000004,998,3.1
2017,1,1,22,30,-0.6000000000000001,84.55,-2.9000000000000004,997,3.2
2017,1,1,23,30,-0.9,87.47,-2.7,997,3.2
2017,1,2,0,30,-1.2000000000000002,90.02,-2.6,997,3.3000000000000003
2017,1,2,1,30,-1.5,92.98,-2.5,997,3.4000000000000004
2017,1,2,2,30,-1.6,94.94,-2.3000000000000003,997,3.4000000000000004
2017,1,2,3,30,-1.5,95.56,-2.1,997,3.4000000000000004
2017,1,2,4,30,-1.4000000000000001,95.87,-2,997,3.4000000000000004
2017,1,2,5,30,-1.4000000000000001,96.74000000000001,-1.9000000000000001,997,3.4000000000000004
2017,1,2,6,30,-1.2000000000000002,96.39,-1.7000000000000002,997,3.5
2017,1,2,7,30,-0.2,91.29,-1.4000000000000001,997,3.9000000000000004
2017,1,2,8,30,1.1,87.33,-0.8,997,4.3
2017,1,2,9,30,2.4000000000000004,84.01,0,996,4.2
2017,1,2,10,30,3.5,82.99,0.9,995,3.9000000000000004
2017,1,2,11,30,4,86.39,1.9000000000000001,994,3.5
2017,1,2,12,30,4.1000000000000005,90.06,2.6,993,3.3000000000000003
2017,1,2,13,30,3.9000000000000004,93.72,3,992,3
2017,1,2,14,30,3.3000000000000003,98.4,3.1,992,2.3000000000000003
2017,1,2,15,30,2.6,100,2.6,993,2.2
2017,1,2,16,30,2.4000000000000004,100,2.4000000000000004,992,3
2017,1,2,17,30,2.4000000000000004,100,2.4000000000000004,992,3.6
2017,1,2,18,30,2.5,100,2.5,991,4
2017,1,2,19,30,2.4000000000000004,100,2.4000000000000004,990,3.6
2017,1,2,20,30,2.3000000000000003,100,2.3000000000000003,990,3.2
2017,1,2,21,30,2.2,100,2.2,989,2.9000000000000004
2017,1,2,22,30,2.2,100,2.2,989,2.7
2017,1,2,23,30,2.2,100,2.2,988,2.2
2017,1,3,0,30,2.2,100,2.2,988,1.6
2017,1,3,1,30,2.4000000000000004,100,2.4000000000000004,987,1.1
2017,1,3,2,30,2.3000000000000003,100,2.3000000000000003,986,1.1
2017,1,3,3,30,2.1,100,2.1,986,1.5
2017,1,3,4,30,2.1,100,2.1,986,1.9000000000000001
2017,1,3,5,30,2.2,100,2.2,986,2.2
2017,1,3,6,30,2.2,100,2.2,985,2.3000000000000003
2017,1,3,7,30,2.5,100,2.5,985,2.5
2017,1,3,8,30,2.9000000000000004,98.62,2.7,985,2.9000000000000004
2017,1,3,9,30,3.2,96.98,2.8000000000000003,986,3.4000000000000004
2017,1,3,10,30,3.3000000000000003,96.12,2.7,986,4.1000000000000005
2017,1,3,11,30,3.2,95.37,2.5,985,4.5
2017,1,3,12,30,3,94.3,2.2,985,4.5
2017,1,3,13,30,2.8000000000000003,93.62,1.9000000000000001,985,4.7
2017,1,3,14,30,2.7,92.49,1.6,986,5.300000000000001
2017,1,3,15,30,2.3000000000000003,92.28,1.2000000000000002,986,5.9
2017,1,3,16,30,1.6,90.87,0.30000000000000004,987,6.7
2017,1,3,17,30,1.1,84.24,-1.3,988,7.2
2017,1,3,18,30,-0.8,82.88,-3.3000000000000003,988,7.4
2017,1,3,19,30,-1.9000000000000001,78.62,-5.1000000000000005,989,7.4
2017,1,3,20,30,-3.1,76.85000000000001,-6.6000000000000005,989,7.6000000000000005
2017,1,3,21,30,-4.5,77.04,-7.9,990,8.1
2017,1,3,22,30,-6,76.66,-9.4,990,8.8
2017,1,3,23,30,-7.300000000000001,75.01,-11,991,9.3
2017,1,4,0,30,-8.200000000000001,73.58,-12.100000000000001,992,9.4
2017,1,4,1,30,-9,73.69,-12.8,993,9.3
2017,1,4,2,30,-9.700000000000001,74.28,-13.4,993,9.3
2017,1,4,3,30,-10.200000000000001,74.92,-13.8,993,9.1
2017,1,4,4,30,-10.600000000000001,75.63,-14.100000000000001,994,8.8
2017,1,4,5,30,-11,77.01,-14.200000000000001,994,8.4
2017,1,4,6,30,-11.3,77.96000000000001,-14.4,994,8.200000000000001
2017,1,4,7,30,-11.3,76.97,-14.5,994,8.1
2017,1,4,8,30,-10.700000000000001,72.64,-14.700000000000001,995,8.1
2017,1,4,9,30,-9.8,67.93,-14.600000000000001,995,8.1
2017,1,4,10,30,-8.8,63.660000000000004,-14.4,995,8.200000000000001
2017,1,4,11,30,-8.1,60.38,-14.4,994,8.4
2017,1,4,12,30,-7.7,57.870000000000005,-14.600000000000001,994,8.5
2017,1,4,13,30,-7.7,56.94,-14.8,994,8.4
2017,1,4,14,30,-8.1,57.9,-14.9,994,8.1
2017,1,4,15,30,-8.9,60.9,-15.100000000000001,994,7.5
2017,1,4,16,30,-9.600000000000001,64.26,-15.100000000000001,995,6.9
2017,1,4,17,30,-9.9,66.13,-15,995,6.7
2017,1,4,18,30,-10.4,67.71000000000001,-15.200000000000001,995,6.5
2017,1,4,19,30,-10.700000000000001,68.04,-15.5,995,6.300000000000001
2017,1,4,20,30,-11,68.77,-15.600000000000001,995,6.2
2017,1,4,21,30,-11.4,70.10000000000001,-15.8,995,6.300000000000001
2017,1,4,22,30,-11.700000000000001,70.8,-15.9,995,6.300000000000001
2017,1,4,23,30,-12.100000000000001,72.24,-16.1,995,6.2
2017,1,5,0,30,-12.3,72.58,-16.2,995,6.1000000000000005
2017,1,5,1,30,-12.5,73.15,-16.3,995,6
2017,1,5,2,30,-12.700000000000001,73.86,-16.400000000000002,995,5.800000000000001
2017,1,5,3,30,-12.9,74.65,-16.5,995,5.5
2017,1,5,4,30,-12.9,74.45,-16.5,995,5.300000000000001
2017,1,5,5,30,-13,74.60000000000001,-16.6,995,5.1000000000000005
2017,1,5,6,30,-12.9,73.63,-16.6,995,4.800000000000001
2017,1,5,7,30,-12.700000000000001,72.02,-16.7,995,4.7
2017,1,5,8,30,-12.100000000000001,68.52,-16.7,995,4.7
2017,1,5,9,30,-11.4,64.99,-16.7,996,4.9
2017,1,5,10,30,-10.600000000000001,61.74,-16.5,995,5.4
2017,1,5,11,30,-10.100000000000001,60.78,-16.2,995,5.9
2017,1,5,12,30,-10,61.300000000000004,-16,994,6
2017,1,5,13,30,-10,62.4,-15.8,994,5.9
2017,1,5,14,30,-10,63.17,-15.700000000000001,994,5.7
2017,1,5,15,30,-10.200000000000001,64.76,-15.600000000000001,994,5.300000000000001
2017,1,5,16,30,-10.5,67.62,-15.3,995,5.1000000000000005
2017,1,5,17,30,-10.600000000000001,68.96000000000001,-15.200000000000001,995,5
2017,1,5,18,30,-11.600000000000001,73.25,-15.4,996,5.300000000000001
2017,1,5,19,30,-12.600000000000001,75.7,-16,996,5.5
