COOPID, YEAR, MONTH, DAY, PRECIPITATION, MAX TEMP, MIN TEMP, MEAN TEMP
85663,2011,4,19,0,85,74,80.2
85663,2011,6,12,0.1,92,76,82.4
85663,2014,12,31,0,68,54,60.8
85663,2023,3,30,3.49,79,72,74.3
85663,1989,12,24,0,45,31,38
85663,2010,1,10,0,48,35,41.5
85663,1964,1,14,0,50,37,43.5
85663,2022,12,25,0.03,50,45,47.5
85663,1957,12,12,0,51,35,43
85663,1970,1,9,0,51,37,44
85663,1983,12,25,0,51,37,44
85663,1948,1,15,0,52,34,43
85663,1977,1,19,0,52,36,44
85663,1970,1,10,0,53,35,44
85663,1980,3,3,0,53,32,42.5
85663,1981,1,12,0,53,37,45
85663,1985,1,22,0,53,30,41.5
85663,2010,12,14,0,53,36,44.5
85663,1971,1,20,0,54,35,44.5
85663,1985,12,26,0,54,38,46
85663,1986,1,28,0,54,36,45
85663,1958,1,9,0,55,39,47
85663,1958,2,19,0,55,39,47
85663,1962,12,13,0,55,35,45
85663,1970,1,8,0,55,38,46.5
85663,1970,2,4,0,55,42,48.5
85663,1983,12,26,0,55,33,44
85663,1989,12,25,0,55,30,42.5
85663,2000,12,20,0,55,48,51.5
85663,2002,1,4,0,55,42,48.5
85663,2003,1,18,0,55,45,50
85663,1951,2,3,0.63,56,39,47.5
85663,1958,2,18,0,56,42,49
85663,1959,1,17,0,56,44,50
85663,1962,12,10,0,56,43,49.5
85663,1975,12,22,0,56,42,49
85663,1983,12,31,0.69,56,48,52
85663,1996,1,8,0,56,43,49.5
85663,1997,1,19,0,56,37,46.5
85663,1999,1,5,0.04,56,46,51
85663,2000,12,31,0,56,42,49
85663,2022,12,26,0.38,56,48,52
85663,1965,1,17,0,57,39,48
85663,1968,3,1,0,57,44,50.5
85663,1977,1,18,0,57,38,47.5
85663,1978,2,22,0,57,44,50.5
85663,1979,1,3,0,57,40,48.5
85663,1979,2,1,0,57,43,50
85663,1991,2,16,0,57,41,49
85663,1996,3,11,0.41,57,53,55
85663,1996,12,20,0,57,43,50
85663,2001,1,22,0.01,57,48,52.5
85663,2009,1,21,0,57,42,49.5
85663,2010,12,27,0,57,41,49
85663,2012,1,3,0,57,45,51
85663,1954,12,20,0,58,44,51
85663,1955,2,12,0,58,40,49
85663,1958,2,4,0,58,37,47.5
85663,1958,2,13,0.01,58,43,50.5
85663,1958,2,17,0,58,42,50
85663,1959,11,29,0,58,44,51
85663,1960,1,21,0,58,43,50.5
85663,1976,1,18,0,58,40,49
85663,1977,1,17,0,58,44,51
85663,1980,12,28,0,58,44,51
85663,1995,12,24,0,58,45,51.5
85663,1995,12,28,0.01,58,53,55.5
85663,1996,2,17,0,58,39,48.5
85663,1997,1,18,0,58,42,50
85663,2003,1,24,0,58,36,47
85663,2006,2,13,0,58,45,51.5
