DateTime,Time Since Epoch,Temperature,Dew Point,Humidity,Wind Speed,Precip.
2008-01-02 00:51:00,1199235060,39,21.0,49.0,21.0,0.0
2008-01-02 01:51:00,1199238660,38,21.0,51.0,17.0,0.0
2008-01-02 02:51:00,1199242260,38,22.0,53.0,18.0,0.0
2008-01-02 03:51:00,1199245860,37,22.0,54.0,17.0,0.0
2008-01-02 04:51:00,1199249460,37,23.0,57.0,15.0,0.0
2008-01-02 05:51:00,1199253060,37,21.0,52.0,21.0,0.0
2008-01-02 06:51:00,1199256660,35,19.0,52.0,22.0,0.0
2008-01-02 07:51:00,1199260260,33,17.0,52.0,24.0,0.0
2008-01-02 08:51:00,1199263860,32,18.0,56.0,15.0,0.0
2008-01-02 09:51:00,1199267460,31,16.0,54.0,20.0,0.0
2008-01-02 10:04:00,1199268240,30,18.0,60.0,17.0,0.0
2008-01-02 10:51:00,1199271060,31,16.0,54.0,17.0,0.0
2008-01-02 11:32:00,1199273520,30,16.0,55.0,18.0,0.0
2008-01-02 11:51:00,1199274660,31,16.0,54.0,16.0,0.0
2008-01-02 12:51:00,1199278260,31,13.0,47.0,20.0,0.0
2008-01-02 13:51:00,1199281860,32,14.0,47.0,18.0,0.0
2008-01-02 14:51:00,1199285460,33,13.0,43.0,20.0,0.0
2008-01-02 15:51:00,1199289060,33,12.0,42.0,24.0,0.0
2008-01-02 16:51:00,1199292660,32,13.0,45.0,24.0,0.0
2008-01-02 17:51:00,1199296260,29,11.0,47.0,24.0,0.0
2008-01-02 18:51:00,1199299860,27,8.0,45.0,25.0,0.0
2008-01-02 19:51:00,1199303460,25,7.0,46.0,25.0,0.0
2008-01-02 20:51:00,1199307060,22,4.0,46.0,22.0,0.0
2008-01-03 00:51:00,1199321460,19,2.0,47.0,17.0,0.0
2008-01-03 01:51:00,1199325060,19,3.0,50.0,21.0,0.0
2008-01-03 02:51:00,1199328660,19,3.0,50.0,20.0,0.0
2008-01-03 03:51:00,1199332260,18,5.0,57.0,16.0,0.0
2008-01-03 04:51:00,1199335860,18,5.0,57.0,17.0,0.0
2008-01-03 05:51:00,1199339460,18,3.0,52.0,24.0,0.0
2008-01-03 06:51:00,1199343060,17,2.0,52.0,25.0,0.0
2008-01-03 07:51:00,1199346660,16,1.0,52.0,21.0,0.0
2008-01-03 08:51:00,1199350260,15,1.0,54.0,18.0,0.0
2008-01-03 09:51:00,1199353860,16,-1.0,47.0,18.0,0.0
2008-01-03 10:51:00,1199357460,15,-3.0,45.0,17.0,0.0
2008-01-03 11:51:00,1199361060,17,-2.0,43.0,20.0,0.0
2008-01-03 12:51:00,1199364660,18,-4.0,38.0,16.0,0.0
2008-01-03 13:51:00,1199368260,20,-3.0,37.0,17.0,0.0
2008-01-03 14:51:00,1199371860,21,-4.0,33.0,13.0,0.0
2008-01-03 15:51:00,1199375460,22,-1.0,37.0,18.0,0.0
2008-01-03 16:51:00,1199379060,22,-2.0,35.0,21.0,0.0
2008-01-03 17:51:00,1199382660,21,-2.0,36.0,14.0,0.0
2008-01-03 18:51:00,1199386260,21,0.0,40.0,16.0,0.0
2008-01-03 19:51:00,1199389860,20,0.0,42.0,14.0,0.0
2008-01-03 20:51:00,1199393460,19,1.0,46.0,12.0,0.0
2008-01-03 21:51:00,1199397060,19,2.0,47.0,15.0,0.0
2008-01-03 22:51:00,1199400660,19,1.0,46.0,13.0,0.0
2008-01-04 00:51:00,1199407860,19,0.0,43.0,7.0,0.0
2008-01-04 01:51:00,1199411460,19,0.0,43.0,0.0,0.0
2008-01-04 02:51:00,1199415060,20,1.0,44.0,6.0,0.0
2008-01-04 03:51:00,1199418660,20,2.0,46.0,6.0,0.0
2008-01-04 04:51:00,1199422260,20,3.0,48.0,9.0,0.0
2008-01-04 05:51:00,1199425860,21,3.0,46.0,10.0,0.0
2008-01-04 06:51:00,1199429460,22,7.0,53.0,9.0,0.0
2008-01-04 07:51:00,1199433060,22,8.0,55.0,13.0,0.0
2008-01-04 08:51:00,1199436660,24,8.0,51.0,12.0,0.0
2008-01-04 09:51:00,1199440260,25,8.0,49.0,14.0,0.0
2008-01-04 10:51:00,1199443860,28,8.0,43.0,15.0,0.0
2008-01-04 11:51:00,1199447460,29,8.0,41.0,17.0,0.0
2008-01-04 12:51:00,1199451060,32,8.0,37.0,12.0,0.0
2008-01-04 13:51:00,1199454660,34,7.0,32.0,17.0,0.0
2008-01-04 14:51:00,1199458260,35,7.0,31.0,16.0,0.0
